Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
29-Aug-25,Friday,August,Q3,2025,EQ,675.45,681.15,668.00,675.45,669.50,669.00,673.51,1142.00,535.75,8201917.00,131621.00
28-Aug-25,Thursday,August,Q3,2025,EQ,679.90,680.90,667.80,681.65,676.15,675.45,673.92,1142.00,535.75,9466045.00,168975.00
26-Aug-25,Tuesday,August,Q3,2025,EQ,686.80,686.95,678.30,686.80,680.55,681.65,681.56,1142.00,535.75,7496633.00,127051.00
25-Aug-25,Monday,August,Q3,2025,EQ,683.75,688.90,680.30,680.30,686.10,686.80,686.42,1142.00,535.75,6429311.00,155326.00
22-Aug-25,Friday,August,Q3,2025,EQ,685.90,691.50,678.60,685.40,680.95,680.30,682.03,1142.00,535.75,6429718.00,120866.00
21-Aug-25,Thursday,August,Q3,2025,EQ,694.00,694.95,685.00,689.60,685.20,685.40,690.13,1142.00,535.75,8432614.00,112606.00
20-Aug-25,Wednesday,August,Q3,2025,EQ,700.25,700.80,689.00,700.25,690.00,689.60,691.75,1142.00,535.75,10050137.00,160634.00
19-Aug-25,Tuesday,August,Q3,2025,EQ,676.75,703.35,673.10,676.00,700.50,700.25,695.10,1142.00,535.75,19440384.00,282726.00
18-Aug-25,Monday,August,Q3,2025,EQ,677.00,685.00,672.90,664.60,675.90,676.00,678.70,1142.00,535.75,14226172.00,165366.00
14-Aug-25,Thursday,August,Q3,2025,EQ,666.00,666.55,657.70,663.75,664.00,664.60,662.43,1142.00,535.75,6250494.00,115002.00
13-Aug-25,Wednesday,August,Q3,2025,EQ,657.20,667.00,656.65,654.10,663.30,663.75,663.72,1142.00,535.75,7557556.00,133862.00
12-Aug-25,Tuesday,August,Q3,2025,EQ,651.10,660.95,650.80,653.75,655.05,654.10,655.38,1142.00,535.75,11212223.00,223425.00
11-Aug-25,Monday,August,Q3,2025,EQ,636.20,655.00,627.10,633.70,654.00,653.75,647.97,1142.00,535.75,17275390.00,258911.00
08-Aug-25,Friday,August,Q3,2025,EQ,647.95,652.95,630.00,646.50,630.80,633.70,640.31,1142.00,535.75,10144452.00,222231.00
07-Aug-25,Thursday,August,Q3,2025,EQ,650.00,651.70,635.50,652.85,650.00,646.50,641.47,1142.00,535.75,13609913.00,217679.00
06-Aug-25,Wednesday,August,Q3,2025,EQ,655.00,658.00,650.40,654.60,653.20,652.85,653.75,1142.00,535.75,6410830.00,116587.00
05-Aug-25,Tuesday,August,Q3,2025,EQ,655.95,658.90,650.55,653.60,655.00,654.60,654.15,1142.00,535.75,6714804.00,142228.00
04-Aug-25,Monday,August,Q3,2025,EQ,650.05,656.80,646.00,648.85,653.90,653.60,653.34,1142.00,535.75,8033881.00,165858.00
01-Aug-25,Friday,August,Q3,2025,EQ,667.95,667.95,647.00,665.95,649.70,648.85,652.97,1179.00,535.75,12546169.00,237724.00
31-Jul-25,Thursday,July,Q3,2025,EQ,659.85,673.40,652.35,668.45,666.45,665.95,665.70,1179.00,535.75,18723710.00,291431.00
30-Jul-25,Wednesday,July,Q3,2025,EQ,690.00,690.00,665.25,692.35,668.00,668.45,669.43,1179.00,535.75,18923129.00,405426.00
29-Jul-25,Tuesday,July,Q3,2025,EQ,681.90,694.00,680.60,682.90,691.75,692.35,688.52,1179.00,535.75,6239871.00,135285.00
28-Jul-25,Monday,July,Q3,2025,EQ,690.70,700.50,681.40,687.40,684.05,682.90,690.61,1179.00,535.75,7788718.00,141239.00
25-Jul-25,Friday,July,Q3,2025,EQ,701.00,702.45,684.70,700.50,687.55,687.40,690.76,1179.00,535.75,7271718.00,143186.00
24-Jul-25,Thursday,July,Q3,2025,EQ,692.70,706.50,692.30,690.10,701.30,700.50,702.13,1179.00,535.75,15197664.00,206983.00
23-Jul-25,Wednesday,July,Q3,2025,EQ,676.70,693.10,676.25,673.40,690.90,690.10,688.74,1179.00,535.75,14460727.00,196481.00
22-Jul-25,Tuesday,July,Q3,2025,EQ,688.00,688.85,672.35,687.45,675.50,673.40,677.29,1179.00,535.75,7749518.00,190083.00
21-Jul-25,Monday,July,Q3,2025,EQ,680.50,688.50,671.25,680.25,687.45,687.45,681.79,1179.00,535.75,6731863.00,126501.00
18-Jul-25,Friday,July,Q3,2025,EQ,683.20,686.00,678.00,681.70,680.45,680.25,681.57,1179.00,535.75,5558670.00,92747.00
17-Jul-25,Thursday,July,Q3,2025,EQ,679.00,686.90,678.15,679.00,682.20,681.70,683.00,1179.00,535.75,6598144.00,118601.00
16-Jul-25,Wednesday,July,Q3,2025,EQ,684.40,684.40,676.35,684.40,679.00,679.00,679.14,1179.00,535.75,6244205.00,112327.00
15-Jul-25,Tuesday,July,Q3,2025,EQ,676.00,685.95,674.30,674.50,683.00,684.40,681.06,1179.00,535.75,7041706.00,135711.00
14-Jul-25,Monday,July,Q3,2025,EQ,681.00,681.00,672.00,681.80,674.80,674.50,676.24,1179.00,535.75,7748550.00,181930.00
11-Jul-25,Friday,July,Q3,2025,EQ,692.95,698.40,677.05,695.60,679.00,681.80,687.10,1179.00,535.75,8280654.00,159362.00
10-Jul-25,Thursday,July,Q3,2025,EQ,692.00,696.75,685.00,692.80,695.50,695.60,691.34,1179.00,535.75,7733963.00,143758.00
09-Jul-25,Wednesday,July,Q3,2025,EQ,688.95,695.50,688.50,693.20,692.30,692.80,692.33,1179.00,535.75,5478813.00,110466.00
08-Jul-25,Tuesday,July,Q3,2025,EQ,693.00,696.95,687.50,688.85,692.90,693.20,691.86,1179.00,535.75,7615926.00,112199.00
07-Jul-25,Monday,July,Q3,2025,EQ,689.05,691.95,683.35,689.05,688.50,688.85,688.32,1179.00,535.75,5428220.00,116439.00
